zemlja,vrijednost
Albanija,1039
Argentina,2109
Australija,12592
Austrija,647165
Belgija,50471
Bjelorusija,2916
BiH,27665
Brazil,3262
Bugarska,3945
Cipar,380
Crna Gora,1388
Češka,149820
Čile,782
Danska,47259
Estonija,4527
Finska,12649
Francuska,57861
Grčka,1184
Hong Kong,599
Indija,2053
Indonezija,275
Irska,10612
Island,1512
Italija,457478
Izrael,6299
Japan,2345
Jordan,75
JAR,1976
Kanada,11380
Katar,32
Kazahstan,683
Kina,9440
Koreja,10120
Kosovo,1373
Kuvajt,143
Letonija,2910
Lihtenštajn,524
Litva,5541
Luksemburg,1852
Mađarska,120711
Makao,33
Makedonija,5439
Malta,307
Maroko,419
Meksiko,983
Nizozemska,180073
Norveška,28649
Novi Zeland,2685
Njemačka,1041656
Oman,41
Poljska,124377
Portugal,3088
Rumunjska,21058
Rusija,40553
SAD,41451
Slovačka,63611
Slovenija,575746
Srbija,36727
Španjolska,18502
Švedska,44136
Švicarska,65142
Tajland,1052
Tajvan,5531
Tunis,138
Turska,2890 
Ujedinjeno Kraljevstvo,139958
Ujedinjeni Arapski Emirati,253
Ukrajina,22533
Hrvatska,276505
