name,total,code

Albanija,389,ALB
Argentina,398,ARG
Australija,2132,AUS
Austrija,151310,AUT
Belgija,11680,BEL
Bjelorusija,767,BLR
Bosnia and Herzegovina,6306,BIH
Brazil,784,BRA 
Bugarska,862,BGR
Crna Gora Montenegro,195,MNE
Češka Czech Republic,44995,CZE
Čile Chile,166,CHL
Danska Denmark,2392,DNK
Estonija Estonia,962,EST
Finska Finland,924,FIN
Francuska,24222,FRA
Grčka Greece,283,GRC
Hong Kong,50,HKG
Indija India,349,IND
Indonezija Indonesia,51,IDN
Irska Ireland,2493,IRL
Island Iceland,158,ISL
Italija Italy,188630,ITA
Izrael Israel,1989,ISR
Japan Japan,385,JPN
Jordan Jordan,19,JOR
JAR South African Republic,139,ZAF
Kanada Canada,1970,CAN
Katar Qatar,34,QAT
Kazahstan Kazakhstan,241,KAZ
Kina China,1513,CHN
Koreja Korea Republic,1361,KOR
Kosovo Kosovo,298,XKX
Kuvajt Kuwait,39,KWT
Letonija Latvia,746,LVA
Lihtenštajn Liechtenstein,88,LIE
Litva Lithuania,1254,LTU
Luksemburg Luxembourg,867,LUX
Mađarska Hungary,43831,HUN
Makedonija Macedonia FYR,1035,MKD
Malta Malta,57,MLT
Maroko Morocco,200,MAR
Meksiko Mexico,191,MEX
Nizozemska Netherlands,51468,NLD
Norveška Norway,2094,NOR
Novi Zeland New Zealand,474,NZL
Njemačka Germany,309475,DEU
Oman Oman,8,OMN
Poljska Poland,37393,POL
Portugal Portugal,1009,PRT
Rumunjska Romania,8413,ROU
Rusija Russian Fed.,12290,RUS
SAD USA,6797,USA
Slovačka Slovakia,22333,SVK
Slovenija Slovenia,107505,SVN
Srbija Serbia,9149,SRB
Španjolska Spain,7444,ESP
Švedska Sweden,4463,SWE
Švicarska Switzerland,9507,CHE
Tajland Thailand,196,THA
Tajvan, Kina Taiwan, China,293,TWN
Tunis Tunisia,42,TUN
Turska Turkey,687,TUR
Ujedinjeno Kraljevstvo UK,33872,GBR
Ujedinjeni Ar. Emirati UAE,53,ARE
Ukrajina Ukraine,9510,UKR
Hrvatska Croatia,33041,HRV
