name,total,code

Albanija,389,ALB
Argentina,398,ARG
Australija,2132,AUS
Austrija,151310,AUT
Belgija,11680,BEL
Bjelorusija,767,BLR
Bosnia and Herzegovina,6306,BIH
Brazil,784,BRA 
Bugarska,862,BGR
Crna Gora Montenegro,195,MNE
Češka Czech Republic,44995,CZE
Čile Chile,166,CHL
Danska Denmark,2392,DNK
Estonija Estonia,962,EST
Finska Finland,924,FIN
Francuska,24222,FRA
Grčka Greece,283,GRC
Hong Kong,50,HKG
Indija India,349,IND
Indonezija Indonesia,1,IDN
Irska Ireland,10,IRL
Island Iceland,1,ISL
Italija Italy,2983,ITA
Izrael Israel,30,ISR
Japan Japan,26,JPN
Jordan Jordan,0,JOR
JAR South African Republic,12,ZAF
Kanada Canada,59,CAN
Katar Qatar,2,QAT
Kazahstan Kazakhstan,2,KAZ
Kina China,75,CHN
Koreja Korea Republic,201,KOR
Kosovo Kosovo,20,XKX
Kuvajt Kuwait,0,KWT
Letonija Latvia,1,LVA
Lihtenštajn Liechtenstein,0,LIE
Litva Lithuania,53,LTU
Luksemburg Luxembourg,1,LUX
Mađarska Hungary,182,HUN
Makedonija Macedonia FYR,63,MKD
Malta Malta,2,MLT
Maroko Morocco,1,MAR
Meksiko Mexico,1,MEX
Nizozemska Netherlands,29,NLD
Norveška Norway,29,NOR
Novi Zeland New Zealand,7,NZL
Njemačka Germany,486,DEU
Oman Oman,1,OMN
Poljska Poland,103,POL
Portugal Portugal,9,PRT
Rumunjska Romania,57,ROU
Rusija Russian Fed.,153,RUS
SAD USA,111,USA
Slovačka Slovakia,93,SVK
Slovenija Slovenia,5876,SVN
Srbija Serbia,546,SRB
Španjolska Spain,67,ESP
Švedska Sweden,25,SWE
Švicarska Switzerland,81,CHE
Tajland Thailand,5,THA
Tajvan, Kina Taiwan, China,171,TWN
Tunis Tunisia,0,TUN
Turska Turkey,10,TUR
Ujedinjeno Kraljevstvo UK,81,GBR
Ujedinjeni Ar. Emirati UAE,1,ARE
Ukrajina Ukraine,152,UKR
Hrvatska Croatia,11801,HRV
